Title,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Directed by,Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float)
The Lodge,"['Simon Oakes', 'Aliza James', 'Aaron Ryder']",Thimios Bakatakis,,108,2019-01-25,"['Veronika Franz', 'Severin Fiala']","['Neon (United States)', 'Sony Pictures Releasing International', 'Stage 6 Films (International)']",English,"['Sergio Casci', 'Veronika Franz', 'Severin Fiala']","['Riley Keough', 'Jaeden Martell', 'Lia McHugh', 'Alicia Silverstone', 'Richard Armitage']",Michael Palm,"['Danny Bensi', 'Saunder Jurriaans']","['FilmNation Entertainment', 'Hammer Film Productions']",,,,3200000.0
Timmy Failure: Mistakes Were Made,"['Alexander Dostal', 'Tom McCarthy', 'Jim Whitaker']",Masanobu Takayanagi,United States,99,2020-01-25,Tom McCarthy,Disney+,English,"['Tom McCarthy', 'Benjamin Pestana', 'Stephan Pastis']","['Winslow Fegley', 'Ophelia Lovibond', 'Craig Robinson', 'Wallace Shawn']",Tom McArdle,Rolfe Kent,"['Walt Disney Pictures', 'Etalon Film', 'Slow Pony Pictures', 'Whitaker Entertainment']",Timmy Failure by Stephan Pastis,,42000000.0,
Horse Girl,"['Mel Eslyn', 'Alana Carithers', 'Jeff Baena', 'Alison Brie']",Sean McElwee,United States,103,2020-01-27,Jeff Baena,Netflix,English,"['Jeff Baena', 'Alison Brie']","['Alison Brie', 'Debby Ryan', 'John Reynolds', 'Molly Shannon', 'John Ortiz', 'Paul Reiser', 'Matthew Gray Gubler']",Ryan Brown,"['Josiah Steinbrick', 'Jeremy Zuckerman']",Duplass Brothers Productions,,,,
To All the Boys: P.S. I Still Love You,Matt Kaplan,Michael Fimognari,United States,102,2020-02-12,Michael Fimognari,Netflix,English,"['Sofia Alvarez', 'J. Mills Goodloe']","['Lana Condor', 'Noah Centineo', 'Jordan Fisher', 'Anna Cathcart', 'Janel Parrish', 'Ross Butler', 'Madeleine Arthur', 'Emilija Baranac', 'Trezzo Mahoro', 'Holland Taylor', 'Sarayu Blue', 'John Corbett']",Joe Klotz,Joe Wong,"['Overbrook Entertainment', 'Awesomeness Films', 'Ace Entertainment']","['P.S. I Still Love You', 'Jenny Han']",,18000000.0,
Sonic the Hedgehog,"['Neal H. Moritz', 'Toby Ascher', 'Toru Nakahara', 'Takeshi Ito']",Stephen F. Windon,,99,2020-01-25,Jeff Fowler,Paramount Pictures,English,"['Pat Casey', 'Josh Miller']","['Ben Schwartz', 'James Marsden', 'Jim Carrey', 'Tika Sumpter']","['Stacey Schroeder', 'Debra Neil-Fisher']",Tom Holkenborg,"['Sega Sammy Group', 'Original Film', 'Marza Animation Planet', 'Blur Studio']","['Sonic the Hedgehog', 'Sega']",,85000000.0,
Fantasy Island,"['Jason Blum', 'Marc Toberoff', 'Jeff Wadlow']",Toby Oliver,United States,109,2020-02-14,Jeff Wadlow,Sony Pictures Releasing,English,"['Jeff Wadlow', 'Chris Roach', 'Jillian Jacobs']","['Michael Peña', 'Maggie Q', 'Lucy Hale', 'Austin Stowell', 'Jimmy O. Yang', 'Ryan Hansen', 'Portia Doubleday', 'Michael Rooker']",Sean Albertson,Bear McCreary,"['Columbia Pictures', 'Blumhouse Productions']","['Fantasy Island', 'Gene Levitt']",,7000000.0,49000000.0
The Photograph,"['James Lopez', 'Will Packer']",Mark Schwartzbard,United States,106,2020-02-14,Stella Meghie,Universal Pictures,English,Stella Meghie,"['Issa Rae', 'Lakeith Stanfield', 'Lil Rel Howery', 'Rob Morgan', 'Courtney B. Vance']",Shannon Baker Davis,Robert Glasper,"['Will Packer Productions', 'Perfect World Pictures']",,,16000000.0,21000000.0
Downhill,"['Stefanie Azpiazu', 'Anthony Bregman', 'Julia Louis-Dreyfus']",Danny Cohen,United States,86,2020-01-26,"['Nat Faxon', 'Jim Rash']",Searchlight Pictures,English,"['Jesse Armstrong', 'Nat Faxon', 'Jim Rash']","['Julia Louis-Dreyfus', 'Will Ferrell']",Pamela Martin,Volker Bertelmann,"['Searchlight Pictures', 'Likely Story', 'Filmhaus Films', 'TSG Entertainment']","['Force Majeure', 'Ruben Östlund']",,,9000000.0
Spy Intervention,"['Ryan R. Johnson', 'Sunil Perkash', 'Martin Sprock', 'Anil Yadav', 'Akaash Yadav']",Danny Grunes,United States,93,2020-02-14,Drew Mylrea,"['Cinedigm', 'Sprockefeller Pictures']",English,"['Mark Famiglietti', 'Lane Garrison']","['Drew Van Acker', 'Poppy Delevingne', 'Natasha Bassett', 'Max Silvestri', 'Brittany Furlan', 'Blake Anderson']",Drew Mylrea,Roger Suen,"['Fry Cook Productions', 'El Ride Productions', 'Wildfire Productions']",,,,
The Kindness of Strangers,"['Marlene Blenkov', 'Sandra Cunningham']",Sebastian Blenkov,,114,2019-02-07,Lone Scherfig,"['Entertainment One', 'Vertical Entertainment']",English,Lone Scherfig,"['Zoe Kazan', 'Tahar Rahim', 'Esben Smed', 'Andrea Riseborough', 'Caleb Landry Jones']",Cam McLauchlin,Andrew Lockington,"['HanWay Films', 'Ingenious Media', 'Apollo Media', 'Creative Alliance', 'Strada Films', 'WDR']",,,,129603.0
The Call of the Wild,"['Erwin Stoff', 'James Mangold']",Janusz Kamiński,United States,100,2020-02-21,Chris Sanders,20th Century Studios,English,Michael Green,"['Harrison Ford', 'Omar Sy', 'Dan Stevens', 'Karen Gillan', 'Bradley Whitford']","['William Hoy', 'David Heinz']",John Powell,"['20th Century Studios', 'TSG Entertainment', '3 Arts Entertainment']","['The Call of the Wild', 'Jack London']",,125000000.0,111100000.0
Emma.,"['Tim Bevan', 'Eric Fellner', 'Graham Broadbent', 'Pete Czernin']",Christopher Blauvelt,,124,2020-02-14,Autumn de Wilde,"['Focus Features (United States)', 'Universal Pictures (international)']",English,Eleanor Catton,"['Anya Taylor-Joy', 'Johnny Flynn', ""Josh O'Connor"", 'Callum Turner', 'Mia Goth', 'Miranda Hart', 'Bill Nighy']",Nick Emerson,"['Isobel Waller-Bridge', 'David Schweitzer']","['Perfect World Pictures', 'Working Title Films', 'Blueprint Pictures']","['Emma', 'Jane Austen']",,10000000.0,26500000.0
The Last Thing He Wanted,"['Cassian Elwes', 'Dee Rees']",Bobby Bukowski,,115,2020-01-27,Dee Rees,Netflix,English,"['Marco Villalobos', 'Dee Rees']","['Anne Hathaway', 'Ben Affleck', 'Rosie Perez', 'Edi Gathegi', 'Mel Rodriguez', 'Toby Jones', 'Willem Dafoe']",Mako Kamitsuna,Tamar-kali,"['Elevated Films', 'Little Red Hen', 'The Fyzz Facility']","['The Last Thing He Wanted', 'Joan Didion']",,100000000.0,
Brahms: The Boy II,"['Matt Berenson', 'Gary Lucchesi', 'Tom Rosenberg', 'Jim Wedaa', 'Eric Reid', 'Roy Lee', 'Richard S. Wright']",Karl Walter Lindenlaub,United States,86,2020-02-21,William Brent Bell,STX Entertainment,English,Stacey Menear,"['Katie Holmes', 'Ralph Ineson', 'Owain Yeoman', 'Christopher Convery']",Brian Berdan,Brett Detar,"['Lakeshore Entertainment', 'STXfilms']",Characters by Stacey Menear,,10000000.0,20300000.0
The Night Clerk,"['David M. Wulf', 'Arianne Fraser', 'Tye Sheridan']",Noah Greenberg,United States,90,2020-02-21,Michael Cristofer,Saban Films,English,Michael Cristofer,"['Tye Sheridan', 'Ana de Armas', 'John Leguizamo', 'Helen Hunt']",Kristi Shimek,Erik Hall,"['Highland Film Group', 'WulfPak Productions', 'Convergent Media']",,,,302127.0
Impractical Jokers: The Movie,"['Jim Ziegler', 'Buddy Enright', 'Chris Henchy', 'Joe Gatto', 'James Murray', 'Brian Quinn', 'Sal Vulcano']",,United States,93,2020-02-21,Chris Henchy,WarnerMedia,English,"['Chris Henchy', 'Joe Gatto', 'James Murray', 'Brian Quinn', 'Sal Vulcano']","['James Murray', 'Brian Quinn', 'Sal Vulcano', 'Joe Gatto', 'Paula Abdul', 'Casey Jost', 'Jaden Smith']",Thomas M. Vogt,"['Leo Birenberg', 'Paul Jones', 'Zach Robinson']","['Funny or Die', 'truTV']","['Impractical Jokers', 'The Tenderloins']",,3000000.0,10700000.0
The Invisible Man,"['Jason Blum', 'Kylie du Fresne']",Stefan Duscio,,124,2020-02-27,Leigh Whannell,Universal Pictures,English,Leigh Whannell,"['Elisabeth Moss', 'Aldis Hodge', 'Storm Reid', 'Harriet Dyer', 'Michael Dorman', 'Oliver Jackson-Cohen']",Andy Canny,Benjamin Wallfisch,"['Blumhouse Productions', 'Goalpost Pictures', 'Nervous Tick Productions']","['The Invisible Man', 'H. G. Wells']",,7000000.0,144500000.0
All the Bright Places,"['Paula Mazur', 'Mitchell Kaplan', 'Elle Fanning', 'Brittany Kahan-Ward', 'Doug Mankoff', 'Andrew Spaulding']",Rob C. Givens,United States,108,2020-02-28,Brett Haley,Netflix,English,"['Jennifer Niven', 'Liz Hannah']","['Elle Fanning', 'Justice Smith', 'Alexandra Shipp', ""Kelli O'Hara"", 'Lamar Johnson', 'Virginia Gardner', 'Felix Mallard', 'Sofia Hasmik', 'Keegan-Michael Key', 'Luke Wilson']",Suzy Elmiger,Keegan DeWitt,"['Echo Lake Entertainment', 'Mazur/Kaplan Company', 'Demarest Media']",All the Bright Places,,,
Wendy,"['Becky Glupczynski', 'Dan Janvey', 'Paul Mezey', 'Josh Penn']",Sturla Brandth Grøvlen,United States,112,2020-01-26,Benh Zeitlin,Searchlight Pictures,English,"['Benh Zeitlin', 'Eliza Zeitlin']","['Devin France', 'Yashua Mack', 'Gage Naquin', 'Gavin Naquin', 'Ahmad Cage', 'Krzysztof Meyn', 'Romyri Ross']",Affonso Gonçalves,Dan Romer,"['Searchlight Pictures', 'TSG Entertainment', 'Department of Motion Pictures', 'Journeyman Pictures']","['Peter Pan', 'J. M. Barrie']",,6000000.0,266770.0
Guns Akimbo,"['Felipe Marino', 'Joe Neurauter', 'Tom Hern']",Stefan Ciupek,,95,2019-09-09,Jason Lei Howden,"['Madman Entertainment (Australia & New Zealand)', 'Saban Films (North America)', 'Altitude Film Distribution (United Kingdom)', 'Leonine Distribution (Germany and Austria)']",,Jason Lei Howden,"['Daniel Radcliffe', 'Samara Weaving', 'Ned Dennehy', 'Natasha Liu Bordizzo', 'Grant Bowler', 'Edwin Wright', 'Rhys Darby', 'Milo Cawthorne', 'Richard Knowles', 'Mark Rowley']","['Luke Haigh', 'Zaz Montana']",Enis Rotthoff,"['Occupant Entertainment', 'Four Knights Film', 'Maze Pictures', 'Cutting Edge', 'The Electric Shadow Company', 'Umedia', 'Ingenious Media', 'WS Filmproduktion', 'Deutscher Filmförderfonds', 'FilmFernsehFonds Bayern', 'Hyperion Entertainment', 'New Zealand Film Commission']",,,,847947.0
Onward,Kori Rae,"['Sharon Calahan', 'Adam Habib']",United States,102,2020-02-21,Dan Scanlon,Walt Disney Studios Motion Pictures,English,"['Dan Scanlon', 'Jason Headley', 'Keith Bunin']","['Tom Holland', 'Chris Pratt', 'Julia Louis-Dreyfus', 'Octavia Spencer']",Catherine Apple,"['Mychael Danna', 'Jeff Danna']","['Walt Disney Pictures', 'Pixar Animation Studios']",,,175000000.0,142000000.0
The Way Back,"['Gordon Gray', 'Jennifer Todd', ""Gavin O'Connor"", 'Ravi Mehta']",Eduard Grau,United States,108,2020-03-06,Gavin O'Connor,Warner Bros. Pictures,English,Brad Ingelsby,"['Ben Affleck', 'Al Madrigal', 'Michaela Watkins', 'Janina Gavankar']",David Rosenbloom,Rob Simonsen,"['Warner Bros. Pictures', 'Bron Creative', 'Mayhem Pictures', 'Film Tribe']",,,21000000.0,15500000.0
Spenser Confidential,"['Neal H. Moritz', 'Toby Ascher', 'Stephen Levinson', 'Peter Berg']",Tobias A. Schliessler,United States,111,2020-03-06,Peter Berg,Netflix,English,"[""Sean O'Keefe"", 'Brian Helgeland']","['Mark Wahlberg', 'Winston Duke', 'Alan Arkin', 'Iliza Shlesinger', 'Bokeem Woodbine', 'Marc Maron', 'Austin Post']",Mike Sale,Steve Jablonsky,"['Original Film', 'Closest to the Hole Productions', 'Leverage Entertainment', 'Film 44']","['Robert B. Parker', 'Ace Atkins']",,,
The Banker,"['Joel Viertel', 'Brad Feinstein', 'George Nolfi', 'Nnamdi Asomugha', 'Jonathan Baker', 'David Lewis Smith', 'Anthony Mackie']",Charlotte Bruus Christensen,United States,120,2020-03-06,George Nolfi,Apple TV+,English,"['Niceole Levy', 'George Nolfi', 'David Lewis Smith', 'Stan Younger']","['Anthony Mackie', 'Nicholas Hoult', 'Nia Long', 'Jessie T. Usher', 'Samuel L. Jackson']",Joel Viertel,H. Scott Salinas,"['Romulus Entertainment', 'Mad Hatter', 'Iam21 Entertainment', 'Hyphenate Films']",,"['David Lewis Smith', 'Stan Younger', 'Brad Caleb Kane']",11000000.0,
The Burnt Orange Heresy,"['William Horberg', 'David Lancaster', 'David Zander']",David Ungaro,,98,2019-09-07,Giuseppe Capotondi,Sony Pictures Classics,English,Scott Smith,"['Claes Bang', 'Elizabeth Debicki', 'Mick Jagger', 'Donald Sutherland']",Guido Notari,Craig Armstrong,"['Indiana Production', 'MJZ', 'Rumble Films', 'Wonderful Films', 'Carte Blanche Cinema', 'HanWay Films', 'Ingenious']",Charles Willeford,,,711691.0
Swallow,"['Carole Baraton', 'Frédéric Fiore', 'Mollye Asher', 'Mynette Louie']",Katelin Arizmendi,,94,2019-04-28,Carlo Mirabella-Davis,"['IFC Films (United States)', 'UFO Distribution (France)']",English,Carlo Mirabella-Davis,"['Haley Bennett', 'Austin Stowell', 'Elizabeth Marvel', 'David Rasche', ""Denis O'Hare""]",Joe Murphy,Nathan Halpern,"['Charades', 'Logical Pictures', 'Stand Alone Productions', 'Syncopated Films']",,,,274674.0
First Cow,"['Neil Kopp', 'Vincent Savino', 'Anish Savjani']",Christopher Blauvelt,United States,121,2019-08-30,Kelly Reichardt,A24,English,"['Jonathan Raymond', 'Kelly Reichardt']","['John Magaro', 'Orion Lee', 'Toby Jones', 'Ewen Bremner', 'Scott Shepherd', 'Gary Farmer', 'Lily Gladstone']",Kelly Reichardt,William Tyler,"['FilmScience', 'IAC Films']",The Half-Life by Jonathan Raymond,,2000000.0,1400000.0
Bloodshot,"['Neal H. Moritz', 'Toby Jaffe', 'Dinesh Shamdasani', 'Vin Diesel']",Jacques Jouffret,United States,109,2020-03-10,David S. F. Wilson,Sony Pictures Releasing,English,"['Jeff Wadlow', 'Eric Heisserer']","['Vin Diesel', 'Eiza González', 'Sam Heughan', 'Toby Kebbell', 'Talulah Riley', 'Lamorne Morris', 'Guy Pearce']",Jim May,Steve Jablonsky,"['Columbia Pictures', 'Bona Film Group', 'Cross Creek Pictures', 'Original Film', 'Annabell Pictures', 'The Hideaway Entertainment', 'One Race Films', 'Valiant Entertainment']","['Kevin VanHook', 'Don Perlin', 'Bob Layton']",Jeff Wadlow,45000000.0,37300000.0
The Hunt,"['Jason Blum', 'Damon Lindelof']",Darran Tiernan,United States,90,2020-03-11,Craig Zobel,Universal Pictures,English,"['Nick Cuse', 'Damon Lindelof']","['Ike Barinholtz', 'Betty Gilpin', 'Emma Roberts', 'Hilary Swank']",Jane Rizzo,Nathan Barr,"['Blumhouse Productions', 'White Rabbit Productions']",,,14000000.0,12400000.0
I Still Believe,"['Kevin Downes', 'Jon Erwin', 'Andrew Erwin']",Kristopher Kimlin,United States,116,2020-03-07,Erwin brothers,Lionsgate,English,"['Jon Erwin', 'Jon Gunn', 'Madeline Carroll']","['KJ Apa', 'Britt Robertson', 'Melissa Roxburgh', 'Nathan Parsons', 'Shania Twain', 'Gary Sinise']","['Parker Adams', 'Ben Smallbone']",John Debney,"['Kingdom Story Company', 'Kevin Downes Productions', 'Erwin Brothers Entertainment']",Jeremy Camp,,12000000.0,16399999.999999998
Lost Girls,"['Anne Carey', 'Kevin McCormick']",Igor Martinovic,United States,95,2020-01-28,Liz Garbus,Netflix,English,Michael Werwie,"['Amy Ryan', 'Thomasin McKenzie', 'Lola Kirke', 'Oona Laurence', 'Dean Winters', 'Miriam Shor', 'Reed Birney', 'Kevin Corrigan', 'Gabriel Byrne']",Camilla Toniolo,Anne Nikitin,"['Archer Gray', 'Langley Park Productions']",Robert Kolker,,,
Stargirl,"['Kristin Hahn', 'Ellen Goldsmith-Vein', 'Lee Stollman', 'Jordan Horowitz']",Bryce Fortner,United States,107,2020-03-13,Julia Hart,Disney+,English,"['Kristin Hahn', 'Julia Hart', 'Jordan Horowitz']","['Grace VanderWaal', 'Graham Verchere']","['Shayar Bansali', 'Tracey Wadmore-Smith']",Rob Simonsen,"['Walt Disney Pictures', 'Gotham Group', 'Hahnscape Entertainment']","['Stargirl', 'Jerry Spinelli']",,,
The Roads Not Taken,Christopher Sheppard,Robbie Ryan,,85,2020-02-26,Sally Potter,"['Bleecker Street (United States)', 'Focus Features Universal Pictures (Select territories)']",English,Sally Potter,"['Javier Bardem', 'Elle Fanning', 'Laura Linney', 'Salma Hayek']","['Sally Potter', 'Jason Rayton', 'Emilie Orsini']",Sally Potter,"['BBC Films', 'HanWay Films', 'BFI', 'Ingenious Media', 'Chimney Pot', 'Sverige AB', 'Adventure Pictures', 'Film i Väst']",,,,105439.0
Never Rarely Sometimes Always,"['Adele Romanski', 'Sara Murphy']",Hélène Louvart,,101,2020-01-24,Eliza Hittman,Universal Pictures,English,Eliza Hittman,"['Sidney Flanigan', 'Talia Ryder', 'Théodore Pellerin', 'Ryan Eggold', 'Sharon Van Etten']",Scott Cummings,Julia Holter,"['Focus Features', 'BBC Films', 'Pastel Productions', 'Tango Entertainment', 'Mutressa Movies', 'Cinereach']",,,5000000.0,891527.0
Big Time Adolescence,"['Mason Novick', 'Mickey Liddell', 'Pete Shilaimon', 'Will Phelps', 'Glen Trotiner', 'Jeremy Garelick']",Andrew Huebscher,United States,90,2019-01-28,Jason Orley,"['Hulu', 'Neon']",English,Jason Orley,"['Pete Davidson', 'Griffin Gluck', 'Emily Arlook', 'Colson Baker', 'Sydney Sweeney', 'Jon Cryer']",Waldemar Centeno,"['Zachary Dawes', 'Nick Sena']","['American High', 'LD Entertainment', 'MXN Entertainment']",,,,
Lost Transmissions,"['Filip Jan Rymsza', 'Al Di', 'Olga Kagan', 'Tory Lenosky']",Arnau Valls Colomer,United States,105,2019-04-28,Katharine O'Brien,Gravitas Ventures,English,Katharine O'Brien,"['Simon Pegg', 'Juno Temple', 'Alexandra Daddario']",Yannis Chalkiadakis,Hugo Nicolson,"['Pulse Films', 'Royal Road Entertainment', 'Underlying Tension']",,,,
Resistance,"['Claudine Jakubowicz', 'Dan Maag', 'Thorsten Schumacher', 'Carlos García de Paredes', 'Patrick Zorer', 'Jonathan Jakubowicz']",M.I. Littin-Menz,,120,2020-03-08,Jonathan Jakubowicz,"['IFC Films (United States)', 'Warner Bros. Pictures (Germany)']",English,Jonathan Jakubowicz,"['Jesse Eisenberg', 'Clémence Poésy', 'Matthias Schweighöfer', 'Félix Moati', 'Géza Röhrig', 'Karl Markovics', 'Vica Kerekes', 'Bella Ramsey', 'Ed Harris', 'Édgar Ramírez', 'Alicia von Rittberg']",Alexander Berner,Angelo Milli,"['Panteleon Films', 'Epicentral Studios', 'Rocket Science', 'Vertical Media', 'Ingenious Media', 'Neptune Features', 'Bliss Media']",,,,449753.0
Uncorked,"['Prentice Penny', 'Jill Ahrens', 'Ryan Ahrens', 'Ben Renzo', 'Datari Turner', 'Chris Pollack', 'Jason Michael Berman']",Elliot Davis,United States,104,2020-03-27,Prentice Penny,Netflix,English,Prentice Penny,"['Mamoudou Athie', 'Courtney B. Vance', 'Niecy Nash', 'Matt McGorry', 'Sasha Compère', 'Gil Ozeri', 'Kelly Jenrette', 'Bernard David Jones', 'Meera Rohit Kumbhani']",Sandra Montiel,Hit-Boy,"['Forge Media', 'Argent Pictures', 'Mandalay Pictures']",,,,
Vivarium,"['John McDonnell', 'Brendan McCarthy']",MacGregor,,97,2019-05-18,Lorcan Finnegan,"['Vertigo Releasing and Wildcard Distribution (Ireland)', 'Angel Films (Denmark)']",English,Garret Shanley,"['Imogen Poots', 'Jesse Eisenberg']",Tony Cranstoun,Kristian Eidnes Andersen,"['XYZ Films', 'Fantastic Films', 'Frakas Productions', 'PingPong Film', 'VOO', 'BeTV']",,"['Garret Shanley', 'Lorcan Finnegan']",,434030.0
Coffee & Kareem,"['Mike Falbo', 'Ed Helms']",Brian Burgoyne,United States,88,2020-04-03,Michael Dowse,Netflix,English,Shane Mack,"['Ed Helms', 'Terrence Little Gardenhigh', 'Betty Gilpin', 'RonReaco Lee', 'Andrew Bachelor', 'David Alan Grier', 'Taraji P. Henson']",Daniel Gabbe,Joseph Trapanese,['Pacific Electric Picture Co.'],,,,
Trolls World Tour,Gina Shay,,United States,91,2020-04-10,Walt Dohrn,Universal Pictures,English,"['Jonathan Aibel Glenn Berger', 'Maya Forbes', 'Wallace Wolodarsky', 'Elizabeth Tippet']","['Anna Kendrick', 'Justin Timberlake', 'Rachel Bloom', 'James Corden', 'Ron Funches', 'Kelly Clarkson', 'Anderson .Paak', 'Sam Rockwell', 'George Clinton', 'Mary J. Blige']",Nick Fletcher,Theodore Shapiro,DreamWorks Animation,"['Good Luck Trolls', 'Thomas Dam']","['Jonathan Aibel', 'Glenn Berger']",90000000.0,48000000.0
Love Wedding Repeat,"['Piers Tempest', 'Guglielmo Marchetti']",Hubert Taczanowski,,100,2020-04-10,Dean Craig,Netflix,English,Dean Craig,"['Sam Claflin', 'Olivia Munn', 'Eleanor Tomlinson', 'Joel Fry', 'Tim Key', 'Aisling Bea', 'Jack Farthing', 'Allan Mustafa', 'Freida Pinto']",Christian Sandino-Taylor,,"['Notorious Pictures', 'Tempo Productions']",Plan de Table,,,
The Main Event,Richard Lowell,Karsten Gopinath,United States,101,2020-04-10,Jay Karas,Netflix,English,Larry Postel Jim Mahoney Zach Lewis Peter Hoare,"['Seth Carr', 'Tichina Arnold', 'Ken Marino', 'Aryan Simhadri', 'Momona Tamada', 'Glen Gordon', 'Keith Lee', 'Babatunde Aiyegbusi', 'Josh Zaharia', 'Dallas Young', 'Bodhi Sabongui', 'Renee Paquette', 'Matt Polinsky', 'Kofi Kingston', 'Stephen Farrelly', 'Mike ""The Miz"" Mizanin', 'Adam Pally']",Dan Schalk,Rupert Parkes,WWE Studios,,Larry Postel,,
We Summon the Darkness,"['Mark Lane', 'Robert Jones', 'James Harris', 'Kyle Tekiela', 'Jarod Einsohn', 'Christian Armogida', 'Alexandra Daddario', 'Thomas E. van Dell']",Tarin Anderson,United States,91,2019-02-28,Marc Meyers,Saban Films,English,Alan Trezza,"['Alexandra Daddario', 'Keean Johnson', 'Maddie Hasson', 'Amy Forsyth', 'Logan Miller', 'Austin Swift', 'Johnny Knoxville']","['Joe Murphy', 'Jamie Kirkpatrick']",Timothy Williams,"['The Fyzz Facility', 'Nightshade Entertainment', 'Common Enemy', 'Highland Film Group']",,,,168473.0
The Lost Husband,"['Leslie Bibb', 'Bridget Stokes', 'Vicky Wight']",Aaron Kovalchik,United States,109,2020-04-10,Vicky Wight,"['Quiver Distribution', 'Redbox Entertainment']",English,Vicky Wight,"['Leslie Bibb', 'Josh Duhamel']",Suzanne Spangler,Sherri Chung,Six Foot Pictures,Katherine Center,,,
Corona Zombies,Charles Band,,United States,61,2020-04-10,Charles Band,Full Moon Features,English,"['Kent Roudebush', 'Silvia St. Croix']","['Cody Renee Cameron', 'Russell Coker', 'Robin Sydney']",,,Full Moon Features,,,,
